root,cell,scheme,budget,length,mode,seed,model,checkpoint,primary_mse,generator_grid_mse,generator_reference_mse,bound_violation,energy_monotone,stress_mse,training_seconds,epochs,selected_epoch,privileged
rate-L4,midpoint-b4-L4-teacher-s31415-A,midpoint,4,4,teacher,31415,A,epoch400,0.004495659725180424,0.02003461495041847,0.021449988707900044,0.0,0.9115513392857143,0.005535660016317261,8.381819043308496,2000,400,False
rate-L4,midpoint-b4-L4-teacher-s31415-B,midpoint,4,4,teacher,31415,B,final,1.3009397185570101e-06,9.479802865780396e-05,8.542553285703053e-06,0.0,1.0,1.7202359004213445e-06,8.291353069245815,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s31415-B,midpoint,4,4,teacher,31415,B,best_one_step,1.3009397185570101e-06,9.479802865780396e-05,8.542553285703053e-06,0.0,1.0,1.7202359004213445e-06,8.291353069245815,2000,2000,False
rate-L4,midpoint-b4-L4-teacher-s31415-B,midpoint,4,4,teacher,31415,B,best_rollout,1.104694842307484e-06,9.438573159308568e-05,8.391651585849818e-06,0.0,1.0,1.6315496692431502e-06,8.291353069245815,2000,1980,False
rate-L4,midpoint-b4-L4-teacher-s31415-B,midpoint,4,4,teacher,31415,B,epoch120,0.005422857426496964,0.02382636956483724,0.02518834341089131,0.0,0.9017857142857143,0.006695481580282621,8.291353069245815,2000,120,False
rate-L4,midpoint-b4-L4-teacher-s31415-B,midpoint,4,4,teacher,31415,B,epoch400,0.004954167927524077,0.02144001202288836,0.02310907948147696,0.0,0.91015625,0.006019569833980912,8.291353069245815,2000,400,False
rate-L4,midpoint-b4-L4-unroll-s161803-A,midpoint,4,4,unroll,161803,A,final,7.033795919441382e-07,7.934882887639112e-05,6.0959914662817044e-06,0.0,1.0,1.0699011128776643e-06,30.42865537852049,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s161803-A,midpoint,4,4,unroll,161803,A,best_one_step,7.033795919441382e-07,7.934882887639112e-05,6.0959914662817044e-06,0.0,1.0,1.0699011128776643e-06,30.42865537852049,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s161803-A,midpoint,4,4,unroll,161803,A,best_rollout,6.522789365142621e-07,7.86476230132393e-05,6.0096381275798186e-06,0.0,1.0,1.037776033089647e-06,30.42865537852049,2000,1950,False
rate-L4,midpoint-b4-L4-unroll-s161803-A,midpoint,4,4,unroll,161803,A,epoch120,0.007238609931456568,0.03313528746366501,0.03677963837981224,0.0,0.8510044642857143,0.009940425280498185,30.42865537852049,2000,120,False
rate-L4,midpoint-b4-L4-unroll-s161803-A,midpoint,4,4,unroll,161803,A,epoch400,0.0062968030336600575,0.028972465544939045,0.03273072093725205,0.0,0.8607700892857143,0.00856829592500262,30.42865537852049,2000,400,False
rate-L4,midpoint-b4-L4-unroll-s161803-B,midpoint,4,4,unroll,161803,B,final,1.0274793148850374e-06,5.064995060144056e-05,6.834741884241009e-06,0.0,1.0,1.0648596620372186e-06,30.20363162457943,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s161803-B,midpoint,4,4,unroll,161803,B,best_one_step,1.0274793148850374e-06,5.064995060144056e-05,6.834741884241009e-06,0.0,1.0,1.0648596620372186e-06,30.20363162457943,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s161803-B,midpoint,4,4,unroll,161803,B,best_rollout,1.0068525478311343e-06,5.055632121099498e-05,6.8150446299193585e-06,0.0,1.0,1.0570465927590072e-06,30.20363162457943,2000,1990,False
rate-L4,midpoint-b4-L4-unroll-s161803-B,midpoint,4,4,unroll,161803,B,epoch120,0.007260847882390783,0.03319599291710369,0.03694993305356869,0.0,0.8515625,0.009973975226670423,30.20363162457943,2000,120,False
rate-L4,midpoint-b4-L4-unroll-s161803-B,midpoint,4,4,unroll,161803,B,epoch400,0.00631115657442735,0.029003892190503207,0.032902667938365375,0.0,0.8657924107142857,0.00859714044896767,30.20363162457943,2000,400,False
rate-L4,midpoint-b4-L4-unroll-s271828-A,midpoint,4,4,unroll,271828,A,final,1.5857359684673648e-05,7.497162005165597e-05,0.0001219019759446383,0.0,1.0,2.3122986023597905e-05,30.269134249538183,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s271828-A,midpoint,4,4,unroll,271828,A,best_one_step,1.5857359684673648e-05,7.497162005165597e-05,0.0001219019759446383,0.0,1.0,2.3122986023597905e-05,30.269134249538183,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s271828-A,midpoint,4,4,unroll,271828,A,best_rollout,1.5857359684673648e-05,7.497162005165597e-05,0.0001219019759446383,0.0,1.0,2.3122986023597905e-05,30.269134249538183,2000,2000,False
rate-L4,midpoint-b4-L4-unroll-s271828-A,midpoint,4,4,unroll,271828,A,epoch120,0.007733720239880108,0.03536006435751915,0.03859737515449524,0.0,0.8479352678571428,0.010652827748073107,30.269134249538183,2000,120,False
rate-L4,midpoint-b4-L4-unroll-s271828-A,midpoint,4,4,unroll,271828,A,epoch400,0.006983179664786863,0.03205893933773041,0.035353850573301315,0.0,0.857421875,0.009515218927268948,30.269134249538183,2000,400,False
