seed,lag,horizon,composition_depth,a_defect,b_defect,a_over_b_defect,a_lower_defect,a_mse,b_mse,a_over_b_mse
161803,0.075,0.6,8,7.845629473868243e-08,3.250055787873407e-05,0.0024139984006249426,True,6.783025204271098e-05,6.78137051579597e-05,1.0002440050239512
161803,0.075,1.2,16,8.334407280985445e-08,0.0001113406368062897,0.0007485503514305955,True,0.00017241640573217865,0.0001726445398873011,0.9986785903841999
161803,0.075,2.4,32,8.183780497716953e-08,0.00018168812681551572,0.0004504301211727875,True,0.00031172941814361366,0.0003086927701758668,1.009837120467761
161803,0.075,4.8,64,7.320675207700411e-08,4.9372202596487114e-05,0.0014827524037222689,True,0.00017675271919870283,0.00017270357574261652,1.0234456260600002
161803,0.1,0.6,6,6.905412650026754e-08,3.096103085908908e-05,0.002230356179500259,True,6.783022868717126e-05,6.781142862877232e-05,1.0002772402643492
161803,0.1,1.2,12,7.419340763981097e-08,0.00010887469250064896,0.0006814568742811258,True,0.00017241646764887264,0.0001726302132993851,0.998761829424715
161803,0.1,2.4,24,7.21737223319252e-08,0.0001797404258354618,0.0004015441823755028,True,0.00031172940509804903,0.00030868497381675297,1.0098625833439607
161803,0.1,4.8,48,6.617782136175698e-08,4.91113274563304e-05,0.0013475062636130542,True,0.00017675264726335627,0.00017270848567818575,1.0234161139754658
161803,0.15,0.6,4,5.80143613704287e-08,2.786458355785726e-05,0.0020820107090410763,True,6.783024995371534e-05,6.78068405974841e-05,1.000345235908722
161803,0.15,1.2,8,6.420246900784576e-08,0.00010392411667226042,0.0006177821959297228,True,0.00017241639747567206,0.0001726014025251743,0.998928137044105
161803,0.15,2.4,16,6.101528410296098e-08,0.00017582976698804487,0.0003470133933983406,True,0.00031172940879287125,0.00030866932294770777,1.0099137997127168
161803,0.15,4.8,32,5.8693619658933827e-08,4.8582398306962205e-05,0.0012081251997500216,True,0.0001767527636786781,0.00017271860340883904,1.0233568370182444
161803,0.2,0.6,3,5.056152192761676e-08,2.476816443675034e-05,0.0020413915636232987,True,6.783023372491925e-05,6.780230723535396e-05,1.0004118811100093
161803,0.2,1.2,6,5.634297958745371e-08,9.897426468796766e-05,0.0005692689889142804,True,0.00017241642726162354,0.00017257271976234279,0.9990943383117883
161803,0.2,2.4,12,5.5380407149030475e-08,0.00017191227675539267,0.000322143410547864,True,0.00031172934555456777,0.0003086537605270223,1.0099645150031347
161803,0.2,4.8,24,5.334696576153597e-08,4.8057560519509934e-05,0.0011100639563233487,True,0.00017675268239258912,0.00017272855151873046,1.0232974273128337
161803,0.3,0.6,2,4.0386182897922396e-08,1.8577535946917578e-05,0.0021739257032428647,True,6.783025646939222e-05,6.779319101468673e-05,1.0005467430305421
161803,0.3,1.2,4,4.812491967431942e-08,8.907493969445568e-05,0.0005402745131166772,True,0.00017241647191212905,0.00017251538119467114,0.9994266639771067
161803,0.3,2.4,8,4.841831097168736e-08,0.00016408812217605373,0.0002950750507080476,True,0.0003117295069330339,0.0003086228891504561,1.0100660640924248
161803,0.3,4.8,16,4.641428194562813e-08,4.700800819534834e-05,0.0009873696786459683,True,0.0001767527995752971,0.00017274860402949344,1.0231793221618164
