cell,track,seed,n,noise,model,split,nu,horizon,lag,mse,relative_l2,max_state,fraction_abs_gt_1_5,energy_monotone_fraction,energy_max_increase,energy_mean_positive_increase,energy_is_lyapunov_candidate
1,irregular,42,16,0.0,query,stress,0.08,0.6,0.12,0.0027513261884450912,0.07237919420003891,1.1432387828826904,0.0,1.0,-0.02083420753479004,0.0,True
1,irregular,42,16,0.0,query,stress,0.08,0.6,0.24,0.002729817759245634,0.07209572941064835,1.143150806427002,0.0,1.0,-0.020950913429260254,0.0,True
1,irregular,42,16,0.0,query,stress,0.08,1.2,0.06,0.007578167598694563,0.10574980825185776,1.150625467300415,0.0,0.9375,0.0054444074630737305,0.0001503605453763157,True
1,irregular,42,16,0.0,query,stress,0.08,1.2,0.12,0.007613755762577057,0.10599782317876816,1.1510711908340454,0.0,0.9468749761581421,0.010746240615844727,0.0002966504544019699,True
1,irregular,42,16,0.0,query,stress,0.08,1.2,0.24,0.007527960930019617,0.10539891570806503,1.1509591341018677,0.0,0.9437500238418579,0.02118849754333496,0.0004695773241110146,True
1,irregular,42,16,0.0,query,stress,0.08,2.4,0.06,0.013012814335525036,0.1293807327747345,1.1549928188323975,0.0,0.567187488079071,0.0060318708419799805,0.0012138901511207223,True
1,irregular,42,16,0.0,query,stress,0.08,2.4,0.12,0.013071147724986076,0.1296704113483429,1.1554553508758545,0.0,0.5718749761581421,0.012046098709106445,0.002428184263408184,True
1,irregular,42,16,0.0,query,stress,0.08,2.4,0.24,0.012973053380846977,0.12918291985988617,1.1553854942321777,0.0,0.574999988079071,0.02353227138519287,0.0047247023321688175,True
2,irregular,42,16,0.01,autonomous,test,0.005,0.6,0.06,0.0011749834520742297,0.05789408087730408,1.0921967029571533,0.0,1.0,-0.014897167682647705,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.005,0.6,0.12,0.001175659243017435,0.0579107291996479,1.0921626091003418,0.0,1.0,-0.031726717948913574,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.005,0.6,0.24,0.0011784443631768227,0.0579792819917202,1.0920625925064087,0.0,1.0,-0.06900805979967117,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.005,1.2,0.06,0.005223176442086697,0.09148023277521133,1.1455845832824707,0.0,1.0,-0.011828303337097168,0.0,True
2,irregular,42,16,0.01,autonomous,test,0.005,1.2,0.12,0.005223480984568596,0.09148290008306503,1.1455609798431396,0.0,1.0,-0.025259017944335938,0.0,True
