update,loss,validation_mse,training_seconds
15500,0.00016064847295638174,2.4648491476727065e-05,251.9858028627932
15600,0.00016064324881881475,2.099198748025056e-05,253.45744517073035
15700,0.0001606395817361772,2.4118543676622448e-05,254.93000541627407
15800,0.00016063959628809243,2.43122492924409e-05,256.4003499299288
15900,0.00016063924704212695,2.441096438817319e-05,257.86988539993763
16000,0.00016063950897660106,2.500158461637157e-05,259.3528089299798
16100,0.00016063889779616147,2.4362479289921897e-05,261.12803241238
16200,0.00016065470117609948,3.035126267730591e-05,262.9043251723051
16300,0.00016063853399828076,2.4402001741036353e-05,264.6797418780625
16400,0.00016063847579061985,2.3009999343969142e-05,266.45333053171635
16500,0.00016063833027146757,2.471590706891531e-05,268.22648268193007
16600,0.00016067459364421666,2.1823391668630912e-05,270.00129618123174
16700,0.0001606432197149843,2.663235086982527e-05,271.77703662216663
16800,0.00016063920338638127,2.2199744854041153e-05,273.55299131944776
16900,0.00016063776274677366,2.4478231596550885e-05,275.3310986496508
17000,0.00016063748626038432,2.4684909040516797e-05,277.21929166466
17100,0.00016063761722762138,2.4411856134166562e-05,278.6840095743537
17200,0.00016063725342974067,2.47324202525169e-05,280.14819046109915
17300,0.0001607753220014274,5.791106345769555e-05,281.61462777107954
17400,0.00016063699149526656,2.503324300555093e-05,283.08044265955687
17500,0.00016063936345744878,2.725099856855781e-05,284.54652608186007
17600,0.00016063879593275487,2.298479163832726e-05,286.01216411218047
17700,0.00016063658404164016,2.5004444427417885e-05,287.4782500229776
17800,0.00016063643852248788,2.5117199858360547e-05,289.2934440486133
17900,0.00016064252122305334,2.9581528730472263e-05,290.7635375894606
18000,0.00016063661314547062,2.501917991666781e-05,292.5414838306606
18100,0.0001606362493475899,2.4847518107206976e-05,294.55383848026395
18200,0.00016063838847912848,2.478606648161574e-05,296.3279842957854
18300,0.00016064528608694673,2.437436176181887e-05,297.79723082855344
18400,0.00016063601651694626,2.5269293823121468e-05,299.34806798025966
18500,0.000160763825988397,8.473633234871857e-06,301.1230088248849
18600,0.00016065413365140557,2.5622006348876604e-05,302.8968263268471
18700,0.00016063601651694626,2.34146400695706e-05,304.67187443748116
18800,0.0001606557343620807,2.593635526073509e-05,306.44825702905655
18900,0.00016063530347310007,2.5096947224673953e-05,307.92086055502295
19000,0.0001606369041837752,2.714022925751131e-05,309.7997197546065
19100,0.00016063524526543915,2.285851393617995e-05,311.26504209265113
19200,0.00016063914517872036,2.7827533277921347e-05,313.03202855959535
19300,0.00016063563816715032,2.3562184525309728e-05,314.8023836761713
19400,0.00016063486691564322,2.548579945684719e-05,316.5747293829918
19500,0.00016063590010162443,2.3546654335101413e-05,318.3442956954241
19600,0.00016063571092672646,2.379580847520026e-05,320.1138334348798
19700,0.00016063792281784117,2.5242420129268902e-05,321.5816662758589
19800,0.0001606362930033356,2.81355441208536e-05,323.04634200036526
19900,0.00016066688112914562,2.907629087412813e-05,324.51301231980324
20000,0.00016080195200629532,4.480571013162553e-05,325.9786916747689
